qwp_angle_deg,hwp_angle_deg,max_power_uw,max_power_angle_deg,min_power_uw,min_power_angle_deg,handedness 
NaN,6,75,146,0.96,51.5,-1
NaN,354.3,89,120,0.94,29,-1
NaN,314.5,120,40,0.37,130.5,1
NaN,335,113,84,0.13,170,-1
NaN,344.4,133,104,0.68,191,-1
NaN,353.7,57,298,0.65,208,-1
NaN,347,78,282,0.66,194,-1
NaN,342.5,92,278,0.52,187,-1
NaN,340.2,71,271,0.33,181,-1
NaN,338.5,65,266,0.23,176.5,-1
NaN,338.5,65,266,0.23,176.5,-1
NaN,335,79,264,0.16,171,-1
NaN,332.5,80,255,0.2,165,1
NaN,329,120,70.5,0.12,160,1
NaN,327,60.4,248,0.11,155,1
NaN,323.7,87.6,238,0.23,147,1
NaN,319.8,112,50,0.33,140.5,1
NaN,309,78,221,0.37,120,1
NaN,299,72,188,0.25,99.5,1
NaN,290,107.5,165,0.07,80,-1
NaN,310,86,32,0.36,121,1
NaN,352,72,112,0.54,24.5,-1
NaN,3,74,137,0.86,46,-1
NaN,10,84,154,0.52,61,-1
NaN,26,77,181,0.06,92,1
NaN,4,70.1,135,0.7,231,-1
NaN,358,78,308,0.9,217,-1
NaN,350,82,290,0.72,199,-1
NaN,300,72,191,0.17,100,1
NaN,320,62,230,0.24,140,1
NaN,329,76,249,0.14,160,1
NaN,339.5,93,89,0.19,180,-1
NaN,15,120,165,0.59,70,-1
NaN,9.5,53,150,0.64,239.5,-1
NaN,14.5,75.1,160,0.58,249,-1
NaN,304.3,79,20,0.34,111,1
NaN,325,98,63,0.14,151,1
280,333,168,257,0.13,171,1
283,333,195,83,0.6,352,1
283,333,195,83,0.6,352,1
246,333,127,29,45,136,-1
270,333,167.3,248,5.37,159,-1
286.5,333,165,88.5,2.18,179,1
310,333,140.7,117,40.8,205,1
286,333,165,88.5,2.18,179,1
254,333,115,240,22.1,143,-1
246,333,101,50,42,316,-1
234,333,95,226,82,319,-1
226,333,87,290,73,199,-1
220,333,110,273,44.1,192,-1
202,333,178,262,11.5,355,-1
187,333,165,253,0.46,343,1
177,333,150,248,8.7,338,1
162,333,132,242,35,329,1
154,333,113,236,58,328,1
130,333,119,284,31,12,1
134,333,156,292,59,18,1
138,333,134,284,58,3,1
142,333,77.5,278,53,9,1
146,333,118,260,74,344,1
150,333,90.6,245,63.9,152,1
260,333,124,51,18.1,329,-1
270,340,206.5,66,34.4,156,-1
274,350,205,222,143.2,314,-1
268,354,176,165,87,252,-1
280,10,148,352,11.2,83,-1
290,6,123.5,12,49.1,281,-1
