qwp_angle_deg,hwp_angle_deg,max_power_uw,max_power_angle_deg,power_max_angle_plus_45,angle_power_max_plus_45,min_power_uw,min_power_angle_deg,power_min_angle_plus_45,angle_power_min_plus_45,handedness 
NaN,23,120,0,62,45,0.63,91,38.2,136,-1
NaN,40,126,323,60,8,0.43,48,63,103,-1
NaN,50,115,307,52.4,352,0.14,35,53,80,-1
NaN,60,100,289,44.8,334,0.03,17,47,62,-1
NaN,70,120,266,65,311,0.3,358,48,43,1
NaN,80,114,76,44,121,1,158,60,203,-1
NaN,90,120,232,55,277,0.87,320,68,5,-1
NaN,100,121,208,61,253,0.5,298,50.7,343,-1
NaN,10,100,22,60,67,0.58,118,48,163,-1
NaN,0,91,49,61,97,0.8,140,50.5,185,-1
NaN,350,120,60,72,105,0.75,158,59,203,-1
NaN,340,112,84,69,129,0.8,178,64,223,-1
NaN,330,90,111,43,156,0.65,200,63,245,-1
NaN,320,117,128,61,173,0.6,218,60,263,-1
NaN,310,120,146,60,191,0.1,238,45,283,-1
NaN,300,91,169,53,214,0.2,260,62,305,-1
NaN,290,120,183,55,228,0.1,279,51,324,-1
NaN,280,91,208,46,253,0.2,299,65,344,-1
NaN,270,113,222,74,267,0.3,319,50,4,-1
NaN,260,89,247,49,292,0.1,338,44.2,23,-1
NaN,250,95,271,38,316,0.2,356,50,41,-1
NaN,305,100,160,42,205,0.2,249,65,294,-1
NaN,295,90,180,46,225,0.13,270,61,315,-1
NaN,315,116,139,56,184,0.4,228,26.7,273,-1
NaN,355,88,102,42,147,0.75,188,45.8,233,-1
NaN,80,110,249,50,294,0.51,340,64,25,-1
NaN,315,120,134,68,179,0.43,228,60,273,-1
NaN,325,120,122,58,167,0.78,210,51,255,-1
NaN,345,122,84,40.4,129,0.77,169,54,214,-1
NaN,355,92,48,61.5,93,0.65,149,47.2,194,-1
NaN,5,91,39,50.1,84,0.68,128,63,173,-1
NaN,120,90,167,46.2,212,0.12,259,51,304,-1
NaN,140,85,131,53,176,0.26,219,57,264,-1
NaN,160,108,85,60,130,0.63,179,61,224,-1
NaN,190,112,26,56,71,0.25,118,58,136,-1
NaN,220,110,328,54,13,1.4,58,55,103,1
